postcode, latitude, longitude, num_occupants, house_size, temp, epc_space_heating, tes_max
N1 7GY,51.5367,-0.0944,2,303.3,22.2,7495,1.7
W14 8JT,51.4908,-0.2180,9,424.2,24.4,10858,1.4
SW16 5BX,51.4228,-0.1243,2,238.7,21.8,12986,2.9
SE16 3JQ,51.4935,-0.0528,9,221.7,23.8,2238,0.3
N1 8SE,51.5367,-0.0944,6,479.4,16.1,6939,3.0
NW10 5JX,51.5412,-0.2431,3,75.5,19.1,10836,0.1
SW14 7ER,51.4655,-0.2669,9,193.7,15.9,10281,0.6
E17 5HN,51.5868,-0.0205,3,111.4,23.0,9299,1.9
SW18 9QR,51.4488,-0.1971,10,302.8,18.9,10056,2.5
SW3 3HD,51.4881,-0.1659,8,70.6,16.6,9240,1.0
N15 4FJ,51.5843,-0.0730,9,38.8,18.2,12562,2.2
W5 1NE,51.5122,-0.2852,2,432.0,19.6,7387,2.4
W3 8HG,51.5103,-0.2657,8,271.2,16.1,2870,2.8
SW10 9QG,51.4876,-0.1694,7,23.9,18.8,8782,2.1
N14 4QB,51.6179,-0.1306,8,261.6,24.6,14970,2.3
SE6 9SP,51.4384,-0.0185,8,322.3,22.2,13987,2.4
E3 4LZ,51.5281,-0.0266,9,439.1,22.8,7205,2.7
SE3 7BG,51.4660,0.0175,2,233.5,21.8,8095,2.6
SW6 6PE,51.4803,-0.1993,5,37.8,19.1,1033,0.7
NW8 9XU,51.5299,-0.1747,1,158.5,20.4,14826,2.8
SW7 5JU,51.4963,-0.1763,5,421.6,20.9,12388,0.5
